filename,file_sha256,display_sha256,ocr_sha256,is_match_flag
start_time.json,29ddd4b8f33efedf1cf09dd23f5b67fb3b005ae5109bdf8a73abaf3ee9ac9fd2,,,False
start_time.json.ots,6ec57d3e460a7cacbcf5e54e9e15c3d605779df0f12c37016267a905b5105ff1,,,False
0000.json,9562b3ef0319212e6d36297a54ebfcd8fe039fe9c0ddcda5a4d1682468250855,,,False
0000.json.ots,0f12047182699bb76678966d0ff6c44197b3068a3a083f85b95c3bfa221e904b,,,False
0001.png,562b39e238cedb04d51a545a447b4f81f7d635abc17da2e3518593eee3d8724a,9562b3ef0319212e6d36297a54ebfcd8fe039fe9c0ddcda5a4d1682468250855,9562b3ef0319212e6d36297a54ebfcd8fed39fe9cddcda5a4d1682468250855,True
0001.png.ots,c7eea25f5fbdd6a2b1af19edf8e0633d7688161a0145dec7419b9ee2e9a596d0,,,False
0001.json,dbbbee6525a48e395363db32983ca9c2159369d6da52da064ffaec2da3ce80de,,,False
0001.json.ots,4581371288def4a57e6112213c26a958deb0dee15131136e35c215a90a967b77,,,False
0002.png,fdbc29eebbe5cc6e85b302e95effcc6a292176fa364ce824d06aa40fd4a743b0,dbbbee6525a48e395363db32983ca9c2159369d6da52da064ffaec2da3ce80de,dbbbee6525a48e395363db32983ca9c2159369d6da52da064ffaec2da3ce80de,True
0002.png.ots,4569c8042dc1be345db77b98a0c80abb0b5fe1607d7512e718057ff292dfebc2,,,False
0002.json,88df66622d313ceb7bfc83f0dfa315a82afb452725d9dd41abb9658ad3815395,,,False
0002.json.ots,9009e9f52affeaefa28a3e317ac4b689d47932e813bd3c91c3a6879a86f17447,,,False
0003.png,099c723ed60a5a003b909abe94d2f1ace2b2f93386a7248aa13211fb3aabde62,88df66622d313ceb7bfc83f0dfa315a82afb452725d9dd41abb9658ad3815395,88df66622d313ceb7bfc83fdfa315a82afb452725d9dd41abb9658ad3815395,True
0003.png.ots,2ed46e0ae4de3b85aaa3b7a93651c9d8c184857405c317a1f8d6ed096645a245,,,False
0003.json,0643cebafd23f3b1fd37b1a7d46568820cfd9c39f32f67c11677c77306abf9c8,,,False
0003.json.ots,17cd8ac6fb9830117ca14bc49b7f9efa24647b72e1a5ea8e416c4fac94988c09,,,False
