bundle_id,index_raw,json_present,png_present,json_file_sha256,prev_last_hash_json,prev_last_hash_prev_id,prev_last_hash_matches_json_prev,prev_last_hash_equals_display_sha256,image_file_sha256,image_sha256_json,image_hash_match,display_sha256_csv,ocr_match_flag,sys_time_in,sys_time_out,sys_duration_seconds,timecode_in,timecode_out,timecode_duration,downloads_count,downloads_names
0000,0,True,False,9562b3ef0319212e6d36297a54ebfcd8fe039fe9c0ddcda5a4d1682468250855,,,,,,,,,,2026-05-13 22:41:58.791349502 CDT,2026-05-13 22:41:59.238740986 CDT,0.447391,00:00:03:12,00:00:03:25,00:00:00:13,0,
0001,2,True,True,dbbbee6525a48e395363db32983ca9c2159369d6da52da064ffaec2da3ce80de,9562b3ef0319212e6d36297a54ebfcd8fe039fe9c0ddcda5a4d1682468250855,0000,True,True,562b39e238cedb04d51a545a447b4f81f7d635abc17da2e3518593eee3d8724a,562b39e238cedb04d51a545a447b4f81f7d635abc17da2e3518593eee3d8724a,True,9562b3ef0319212e6d36297a54ebfcd8fe039fe9c0ddcda5a4d1682468250855,True,2026-05-13 22:42:11.786029861 CDT,2026-05-13 22:42:14.722865180 CDT,2.936836,00:00:16:12,00:00:19:10,00:00:02:28,0,
0002,3,True,True,88df66622d313ceb7bfc83f0dfa315a82afb452725d9dd41abb9658ad3815395,dbbbee6525a48e395363db32983ca9c2159369d6da52da064ffaec2da3ce80de,0001,True,True,fdbc29eebbe5cc6e85b302e95effcc6a292176fa364ce824d06aa40fd4a743b0,fdbc29eebbe5cc6e85b302e95effcc6a292176fa364ce824d06aa40fd4a743b0,True,dbbbee6525a48e395363db32983ca9c2159369d6da52da064ffaec2da3ce80de,True,2026-05-13 22:42:19.479643206 CDT,2026-05-13 22:42:22.066014477 CDT,2.586371,00:00:24:03,00:00:26:20,00:00:02:18,0,
0003,4,True,True,0643cebafd23f3b1fd37b1a7d46568820cfd9c39f32f67c11677c77306abf9c8,88df66622d313ceb7bfc83f0dfa315a82afb452725d9dd41abb9658ad3815395,0002,True,True,099c723ed60a5a003b909abe94d2f1ace2b2f93386a7248aa13211fb3aabde62,099c723ed60a5a003b909abe94d2f1ace2b2f93386a7248aa13211fb3aabde62,True,88df66622d313ceb7bfc83f0dfa315a82afb452725d9dd41abb9658ad3815395,True,2026-05-13 22:42:27.264546833 CDT,2026-05-13 22:42:29.578547377 CDT,2.314001,00:00:31:26,00:00:34:06,00:00:02:09,0,
0004,5,True,True,49fddaecbb577b95a130c178f1e5176e27332d331817535913007f68ff03bd72,0643cebafd23f3b1fd37b1a7d46568820cfd9c39f32f67c11677c77306abf9c8,0003,True,True,5111c1a25434e3188febf9063f61127c6db9df7ae0d83f4d646698fc00470273,5111c1a25434e3188febf9063f61127c6db9df7ae0d83f4d646698fc00470273,True,0643cebafd23f3b1fd37b1a7d46568820cfd9c39f32f67c11677c77306abf9c8,True,2026-05-13 22:42:35.037454809 CDT,2026-05-13 22:42:37.841565338 CDT,2.804111,00:00:39:19,00:00:42:13,00:00:02:24,0,
0005,6,True,True,515b860a59cea0f6f3462cba05c437061e29babd97f9232ef0d00c710cc2eaf7,49fddaecbb577b95a130c178f1e5176e27332d331817535913007f68ff03bd72,0004,True,True,95e942097fea1c234ffe17e458fa0c07192c1fb772d054b21b9b389383f8ee01,95e942097fea1c234ffe17e458fa0c07192c1fb772d054b21b9b389383f8ee01,True,49fddaecbb577b95a130c178f1e5176e27332d331817535913007f68ff03bd72,True,2026-05-13 22:42:42.776832293 CDT,2026-05-13 22:42:45.731434964 CDT,2.954602,00:00:47:12,00:00:50:10,00:00:02:29,0,
0006,7,True,True,5de03f1403b538242a4cfd505496c2f79ad5ae63696c6966e9c1d876f7f5e61e,515b860a59cea0f6f3462cba05c437061e29babd97f9232ef0d00c710cc2eaf7,0005,True,True,a00c61dcd4a82a47581f6808b637755045af6452ab982846efac836a906dcb35,a00c61dcd4a82a47581f6808b637755045af6452ab982846efac836a906dcb35,True,515b860a59cea0f6f3462cba05c437061e29babd97f9232ef0d00c710cc2eaf7,True,2026-05-13 22:42:50.848524377 CDT,2026-05-13 22:42:53.704140129 CDT,2.855616,00:00:55:14,00:00:58:09,00:00:02:26,0,
0007,8,True,True,0b732cfe29334f470326edd209a75814087e14b23ff4a29964d7ae007815f42e,5de03f1403b538242a4cfd505496c2f79ad5ae63696c6966e9c1d876f7f5e61e,0006,True,True,dd9d0448a116eea5e80369aa084a00e5e8f1d45383cb01215856ad1775cabe0b,dd9d0448a116eea5e80369aa084a00e5e8f1d45383cb01215856ad1775cabe0b,True,5de03f1403b538242a4cfd505496c2f79ad5ae63696c6966e9c1d876f7f5e61e,True,2026-05-13 22:42:58.891859809 CDT,2026-05-13 22:43:01.810925102 CDT,2.919066,00:01:03:15,00:01:06:13,00:00:02:28,0,
0008,9,True,True,a765e383a4f999d9847d2c500b3191f83a7eafe857ab5352c0a875fdbf64b82c,0b732cfe29334f470326edd209a75814087e14b23ff4a29964d7ae007815f42e,0007,True,True,8a37c1a0b571d6c6e4bbb72b878cda9778423ae94c2bc40ddde8a330d321f02a,8a37c1a0b571d6c6e4bbb72b878cda9778423ae94c2bc40ddde8a330d321f02a,True,0b732cfe29334f470326edd209a75814087e14b23ff4a29964d7ae007815f42e,True,2026-05-13 22:43:07.091596957 CDT,2026-05-13 22:43:09.741341173 CDT,2.649745,00:01:11:21,00:01:14:10,00:00:02:19,0,
0009,10,True,True,43f840664730436657a92bc0a2f6b16bd8d2989aecaf4a70cb9502ba25faab89,a765e383a4f999d9847d2c500b3191f83a7eafe857ab5352c0a875fdbf64b82c,0008,True,True,fc34375ccf71a1bdb32e0e2fb5bad46b59505f98ff6d0f5a119b9aef12e3bc04,fc34375ccf71a1bdb32e0e2fb5bad46b59505f98ff6d0f5a119b9aef12e3bc04,True,a765e383a4f999d9847d2c500b3191f83a7eafe857ab5352c0a875fdbf64b82c,True,2026-05-13 22:43:15.257268277 CDT,2026-05-13 22:43:18.124391949 CDT,2.867123,00:01:19:26,00:01:22:22,00:00:02:26,0,
