bundle_id,index_raw,event_idx,event_ts,event_timecode,seconds_from_start,url
0005,6,24470,2026-05-14T03:42:44.945968Z,00:00:49:17,49.552907,https://www.google.com/complete/search?client=firefox&channel=ftr&q=
0006,7,24487,2026-05-14T03:42:52.164297Z,00:00:56:23,56.771236,https://mnhouserepublicans.com/wp-content/plugins/coblocks/dist/js/vendors/tiny-swiper.js?ver=3.1.17
0006,7,24488,2026-05-14T03:42:52.464246Z,00:00:57:02,57.071185,https://mnhouserepublicans.com/wp-content/plugins/coblocks/dist/js/coblocks-tinyswiper-initializer.js?ver=3.1.17
0006,7,24489,2026-05-14T03:42:52.741343Z,00:00:57:10,57.348282,https://mnhouserepublicans.com/wp-content/plugins/elementor/assets/js/webpack.runtime.min.js?ver=4.0.8
0006,7,24490,2026-05-14T03:42:53.036170Z,00:00:57:19,57.643109,https://mnhouserepublicans.com/wp-content/plugins/elementor/assets/js/frontend-modules.min.js?ver=4.0.8
0006,7,24491,2026-05-14T03:42:53.316559Z,00:00:57:28,57.923498,https://mnhouserepublicans.com/wp-includes/js/jquery/ui/core.min.js?ver=1.13.3
0007,8,24498,2026-05-14T03:42:55.861720Z,00:01:00:14,60.468659,https://mnhouserepublicans.com/wp-includes/js/dist/i18n.min.js?ver=c26c3dc7bed366793375
0007,8,24499,2026-05-14T03:42:56.142317Z,00:01:00:22,60.749256,https://mnhouserepublicans.com/wp-content/plugins/elementor-pro/assets/js/frontend.min.js?ver=4.0.4
0008,9,24499,2026-05-14T03:42:56.142317Z,00:01:00:22,60.749256,https://mnhouserepublicans.com/wp-content/plugins/elementor-pro/assets/js/frontend.min.js?ver=4.0.4
0007,8,24500,2026-05-14T03:42:56.567292Z,00:01:01:05,61.174231,https://mnhouserepublicans.com/wp-content/plugins/elementor-pro/assets/js/elements-handlers.min.js?ver=4.0.4
0008,9,24500,2026-05-14T03:42:56.567292Z,00:01:01:05,61.174231,https://mnhouserepublicans.com/wp-content/plugins/elementor-pro/assets/js/elements-handlers.min.js?ver=4.0.4
0007,8,24501,2026-05-14T03:43:00.556668Z,00:01:05:05,65.163607,https://mnhouserepublicans.com/wp-content/uploads/elementor/google-fonts/fonts/inter-ucc73fwrk3iltehus_nvmrmxcp50sjia1zl7.woff2
0008,9,24501,2026-05-14T03:43:00.556668Z,00:01:05:05,65.163607,https://mnhouserepublicans.com/wp-content/uploads/elementor/google-fonts/fonts/inter-ucc73fwrk3iltehus_nvmrmxcp50sjia1zl7.woff2
0007,8,24502,2026-05-14T03:43:00.861170Z,00:01:05:14,65.468109,https://mnhouserepublicans.com/wp-content/plugins/uicore-framework/assets/fonts/uicore-icons.woff?bc5uma
0008,9,24502,2026-05-14T03:43:00.861170Z,00:01:05:14,65.468109,https://mnhouserepublicans.com/wp-content/plugins/uicore-framework/assets/fonts/uicore-icons.woff?bc5uma
0008,9,24503,2026-05-14T03:43:08.117321Z,00:01:12:22,72.724260,https://form.jotform.com/jsform/250440900874050
0009,10,24515,2026-05-14T03:43:16.165587Z,00:01:20:23,80.772526,https://cdn.jotfor.ms/s/umd/e559643fc1d/for-sanitize.js
0009,10,24516,2026-05-14T03:43:16.470592Z,00:01:21:02,81.077531,https://cdn.jotfor.ms/stylebuilder/static/color-scheme.css?v=4.1.65650
0009,10,24517,2026-05-14T03:43:16.764297Z,00:01:21:11,81.371236,https://cdn.jotfor.ms/s/static/e559643fc1d/css/styles/payment/payment_feature.css?4.1.65650
0009,10,24518,2026-05-14T03:43:17.048293Z,00:01:21:20,81.655232,https://cdn.jotfor.ms/s/static/e559643fc1d/css/styles/payment/payment_styles.css?4.1.65650
0009,10,24519,2026-05-14T03:43:17.336682Z,00:01:21:28,81.943621,https://cdn.jotfor.ms/themes/CSS/5e6b428acc8c4e222d1beb91.css?v=4.1.65650
0010,11,24522,2026-05-14T03:43:21.318879Z,00:01:25:28,85.925818,https://cdn.jotfor.ms/s/static/e559643fc1d/static/prototype.forms.js
0010,11,24523,2026-05-14T03:43:23.801243Z,00:01:28:12,88.408182,https://cdn.jotfor.ms/fonts/inter/fonts/Inter-Regular.woff2
0010,11,24524,2026-05-14T03:43:24.220936Z,00:01:28:25,88.827875,https://cdn.jotfor.ms/fonts/inter/fonts/Inter-Medium.woff2
0010,11,24525,2026-05-14T03:43:24.539360Z,00:01:29:04,89.146299,https://cdn.jotfor.ms/fonts/inter/fonts/Inter-SemiBold.woff2
0010,11,24526,2026-05-14T03:43:25.385630Z,00:01:30:00,89.992569,https://mnhouserepublicans.com/wp-content/plugins/elementor/assets/js/shared-frontend-handlers.03caa53373b56d3bab67.bundle.min.js
0011,12,24529,2026-05-14T03:43:26.740972Z,00:01:31:10,91.347911,https://www.jotform.com/uploads/RepMaxRymer/form_files/locked-padlock.67b29f363175f5.23628146.png
0012,13,24529,2026-05-14T03:43:26.740972Z,00:01:31:10,91.347911,https://www.jotform.com/uploads/RepMaxRymer/form_files/locked-padlock.67b29f363175f5.23628146.png
0013,14,24529,2026-05-14T03:43:26.740972Z,00:01:31:10,91.347911,https://www.jotform.com/uploads/RepMaxRymer/form_files/locked-padlock.67b29f363175f5.23628146.png
0011,12,24530,2026-05-14T03:43:28.577159Z,00:01:33:06,93.184098,https://events.jotform.com/jsform/250440900874050/?ref=https%253A%252F%252Fmnhouserepublicans.com%252F&res=2560x1440&eventID=1778730203550_250440900874050_PJbOkXy&loc=https%3A%2F%2Fmnhouserepublicans.com%2Fwhistleblower-portal%2F
