bundle_id,index_raw,event_idx,event_ts,event_timecode,seconds_from_start,proto,src,dst,t
0000,0,767312,2026-05-14T03:41:57.998791Z,00:00:02:18,2.605730,TCP,192.168.3.42,16.15.191.52,1778707469.2450852
0000,0,767313,2026-05-14T03:41:58.141331Z,00:00:02:22,2.748270,TCP,16.15.191.52,192.168.3.42,1778707469.245257
0000,0,767314,2026-05-14T03:41:58.313060Z,00:00:02:28,2.919999,TCP,16.15.191.52,192.168.3.42,1778707469.2454357
0000,0,767315,2026-05-14T03:41:58.458084Z,00:00:03:02,3.065023,TCP,192.168.3.42,16.15.191.52,1778707469.2454417
0000,0,767316,2026-05-14T03:41:58.613510Z,00:00:03:07,3.220449,TLSv1.3,16.15.191.52,192.168.3.42,1778707469.245613
0001,2,767405,2026-05-14T03:42:13.534393Z,00:00:18:04,18.141332,TCP,192.168.3.42,16.15.191.52,1778707469.2547078
0001,2,767406,2026-05-14T03:42:13.696918Z,00:00:18:09,18.303857,TCP,16.15.191.52,192.168.3.42,1778707469.2548728
0001,2,767407,2026-05-14T03:42:13.862612Z,00:00:18:14,18.469551,TCP,16.15.191.52,192.168.3.42,1778707469.2550507
0001,2,767408,2026-05-14T03:42:14.002322Z,00:00:18:18,18.609261,TCP,192.168.3.42,16.15.191.52,1778707469.2550662
0001,2,767409,2026-05-14T03:42:14.165836Z,00:00:18:23,18.772775,TCP,16.15.191.52,192.168.3.42,1778707469.2552285
0002,3,767448,2026-05-14T03:42:21.045283Z,00:00:25:20,25.652222,TCP,192.168.3.42,16.15.191.52,1778707469.259324
0002,3,767449,2026-05-14T03:42:21.197053Z,00:00:25:24,25.803992,TCP,16.15.191.52,192.168.3.42,1778707469.2594986
0002,3,767450,2026-05-14T03:42:21.348691Z,00:00:25:29,25.955630,TCP,16.15.191.52,192.168.3.42,1778707469.2594988
0002,3,767451,2026-05-14T03:42:21.508695Z,00:00:26:03,26.115634,TCP,192.168.3.42,16.15.191.52,1778707469.2595265
0002,3,767452,2026-05-14T03:42:21.662871Z,00:00:26:08,26.269810,TCP,16.15.191.52,192.168.3.42,1778707469.2596767
0003,4,767491,2026-05-14T03:42:28.573540Z,00:00:33:05,33.180479,TCP,16.15.191.52,192.168.3.42,1778707469.2639482
0003,4,767492,2026-05-14T03:42:28.714823Z,00:00:33:10,33.321762,TCP,192.168.3.42,16.15.191.52,1778707469.2639525
0003,4,767493,2026-05-14T03:42:28.877167Z,00:00:33:15,33.484106,TCP,16.15.191.52,192.168.3.42,1778707469.2641258
0003,4,767494,2026-05-14T03:42:29.022104Z,00:00:33:19,33.629043,TCP,192.168.3.42,16.15.191.52,1778707469.2641304
0003,4,767495,2026-05-14T03:42:29.160400Z,00:00:33:23,33.767339,TCP,16.15.191.52,192.168.3.42,1778707469.2643046
0004,5,767537,2026-05-14T03:42:36.620722Z,00:00:41:07,41.227661,TCP,16.15.191.52,192.168.3.42,1778707469.2689326
0004,5,767538,2026-05-14T03:42:36.768224Z,00:00:41:11,41.375163,TCP,192.168.3.42,16.15.191.52,1778707469.2689388
0004,5,767539,2026-05-14T03:42:36.916660Z,00:00:41:16,41.523599,TCP,16.15.191.52,192.168.3.42,1778707469.2691112
0004,5,767540,2026-05-14T03:42:37.063090Z,00:00:41:20,41.670029,TCP,192.168.3.42,16.15.191.52,1778707469.269118
0004,5,767541,2026-05-14T03:42:37.200703Z,00:00:41:24,41.807642,TLSv1.3,16.15.191.52,192.168.3.42,1778707469.2692895
0005,6,767582,2026-05-14T03:42:44.384228Z,00:00:49:00,48.991167,TLSv1.3,16.15.191.52,192.168.3.42,1778707469.2735624
0005,6,767583,2026-05-14T03:42:44.552566Z,00:00:49:05,49.159505,TCP,192.168.3.42,16.15.191.52,1778707469.2735698
0005,6,767584,2026-05-14T03:42:44.701374Z,00:00:49:09,49.308313,TCP,16.15.191.52,192.168.3.42,1778707469.2737422
0005,6,767585,2026-05-14T03:42:44.850288Z,00:00:49:14,49.457227,TCP,192.168.3.42,16.15.191.52,1778707469.273752
0005,6,767586,2026-05-14T03:42:45.157606Z,00:00:49:23,49.764545,TCP,16.15.191.52,192.168.3.42,1778707469.2739167
0006,7,767607,2026-05-14T03:42:51.821436Z,00:00:56:13,56.428375,TCP,16.15.191.52,192.168.3.42,1778707469.2764103
0006,7,767608,2026-05-14T03:42:52.138554Z,00:00:56:22,56.745493,TCP,192.168.3.42,16.15.191.52,1778707469.276425
0006,7,767609,2026-05-14T03:42:52.439962Z,00:00:57:01,57.046901,TCP,16.15.191.52,192.168.3.42,1778707469.2765877
0006,7,767610,2026-05-14T03:42:52.716330Z,00:00:57:10,57.323269,TLSv1.3,16.15.191.52,192.168.3.42,1778707469.2767706
0006,7,767611,2026-05-14T03:42:53.009342Z,00:00:57:18,57.616281,TCP,192.168.3.42,16.15.191.52,1778707469.276782
0007,8,767631,2026-05-14T03:42:59.884687Z,00:01:04:15,64.491626,TCP,192.168.3.42,16.15.191.52,1778707469.3136704
0007,8,767632,2026-05-14T03:43:00.181433Z,00:01:04:24,64.788372,TCP,16.15.191.52,192.168.3.42,1778707469.3138366
0007,8,767633,2026-05-14T03:43:00.509567Z,00:01:05:03,65.116506,TCP,16.15.191.52,192.168.3.42,1778707469.3140159
0007,8,767634,2026-05-14T03:43:00.835575Z,00:01:05:13,65.442514,TCP,192.168.3.42,16.15.191.52,1778707469.314027
0007,8,767635,2026-05-14T03:43:01.114392Z,00:01:05:22,65.721331,TCP,16.15.191.52,192.168.3.42,1778707469.3140159
0008,9,767658,2026-05-14T03:43:08.689717Z,00:01:13:09,73.296656,TCP,192.168.3.42,16.15.191.52,1778707469.318425
0008,9,767659,2026-05-14T03:43:08.854229Z,00:01:13:14,73.461168,TCP,16.15.191.52,192.168.3.42,1778707469.3185775
0008,9,767660,2026-05-14T03:43:08.998898Z,00:01:13:18,73.605837,TCP,16.15.191.52,192.168.3.42,1778707469.3187573
0008,9,767661,2026-05-14T03:43:09.161205Z,00:01:13:23,73.768144,TCP,192.168.3.42,16.15.191.52,1778707469.3187752
0008,9,767662,2026-05-14T03:43:09.299672Z,00:01:13:27,73.906611,TCP,16.15.191.52,192.168.3.42,1778707469.318936
0009,10,767684,2026-05-14T03:43:15.991412Z,00:01:20:18,80.598351,TCP,16.15.191.52,192.168.3.42,1778707469.3212478
0009,10,767685,2026-05-14T03:43:16.385002Z,00:01:21:00,80.991941,TCP,192.168.3.42,16.15.191.52,1778707469.3212583
0009,10,767686,2026-05-14T03:43:16.696505Z,00:01:21:09,81.303444,TCP,16.15.191.52,192.168.3.42,1778707469.322647
0009,10,767687,2026-05-14T03:43:16.980057Z,00:01:21:18,81.586996,TCP,16.15.191.52,192.168.3.42,1778707469.322824
