bundle_id,base_filename,file_kind,data_file_exists,data_file_path,data_file_size_bytes,data_file_mtime_ct,data_file_sha256,ots_original_filename,ots_original_path,ots_original_sha256,ots_upgraded_filename,ots_upgraded_path,ots_upgraded_sha256,ots_receipt_status,ots_info_file_sha256,ots_info_file_sha256_matches_data,ots_block_height,ots_block_hash,ots_earliest_onchain_mtp_ct,ots_block_header_time_ct,ots_latest_onchain_upper_ct,rt_ots_bundle_filename,rt_ots_bundle_path,rt_ots_midp_utc,rt_ots_mint_utc,rt_ots_maxt_utc,rt_ots_radius_us,rt_ots_bind_sha256_hex,rt_ots_bind_matches_ots_sha256,rt_ots_bind_source,rt_ots_nonce_match,rt_ots_merkle_ok,rt_ots_cert_sig_ok,rt_ots_srep_sig_ok,rt_ots_window_ok,rt_ots_all_ok
0000,0000.json,bundle_json,yes,bundles/0000.json,1554,2026-05-13 22:41:59 CDT,9562b3ef0319212e6d36297a54ebfcd8fe039fe9c0ddcda5a4d1682468250855,0000.json.ots,bundles/0000.json.ots,0f12047182699bb76678966d0ff6c44197b3068a3a083f85b95c3bfa221e904b,0000.json.ots.upgraded,bundles/ots_upgraded_bundle/0000.json.ots.upgraded,c25c109d9ba4bc6675c9d368995e09d941b0b4882d484c5f45b7f5549891e135,anchored,9562b3ef0319212e6d36297a54ebfcd8fe039fe9c0ddcda5a4d1682468250855,yes,949319,00000000000000000001167897b80c9add7c40f4481e0d4dbebf384a8bd28e82,2026-05-13 23:14:50 CDT,2026-05-14 00:06:03 CDT,2026-05-14 02:06:03 CDT,0000.json.ots__time-stamp.json,bundles/0000.json.ots__time-stamp.json,2026-05-14T03:42:01.545000+00:00,2026-05-13T07:35:20.866000+00:00,2026-05-14T07:35:20.866000+00:00,1000000,0f12047182699bb76678966d0ff6c44197b3068a3a083f85b95c3bfa221e904b,yes,bundle.artifact.bind_sha256_hex,yes,yes,yes,yes,yes,yes
0001,0001.json,bundle_json,yes,bundles/0001.json,6285,2026-05-13 22:42:14 CDT,dbbbee6525a48e395363db32983ca9c2159369d6da52da064ffaec2da3ce80de,0001.json.ots,bundles/0001.json.ots,4581371288def4a57e6112213c26a958deb0dee15131136e35c215a90a967b77,0001.json.ots.upgraded,bundles/ots_upgraded_bundle/0001.json.ots.upgraded,8916adc56b825a458230cd24a7c74403895ec44f7470ddff65e242e3053b0e73,anchored,dbbbee6525a48e395363db32983ca9c2159369d6da52da064ffaec2da3ce80de,yes,949313,00000000000000000000b652749d31ea5c941a345b14754a02176d7a03f4a108,2026-05-13 22:25:03 CDT,2026-05-13 23:02:10 CDT,2026-05-14 01:02:10 CDT,0001.json.ots__time-stamp.json,bundles/0001.json.ots__time-stamp.json,2026-05-14T03:42:17.024000+00:00,2026-05-13T07:20:03.388000+00:00,2026-05-14T07:20:03.388000+00:00,1000000,4581371288def4a57e6112213c26a958deb0dee15131136e35c215a90a967b77,yes,bundle.artifact.bind_sha256_hex,yes,yes,yes,yes,yes,yes
0001,0001.png,bundle_png,yes,bundles/0001.png,30330,2026-05-13 22:42:11 CDT,562b39e238cedb04d51a545a447b4f81f7d635abc17da2e3518593eee3d8724a,0001.png.ots,bundles/0001.png.ots,c7eea25f5fbdd6a2b1af19edf8e0633d7688161a0145dec7419b9ee2e9a596d0,0001.png.ots.upgraded,bundles/ots_upgraded_bundle/0001.png.ots.upgraded,f17849626fad299ed26f3d09d37bdbed2c300f772473d329ae4aea6708921f10,anchored,562b39e238cedb04d51a545a447b4f81f7d635abc17da2e3518593eee3d8724a,yes,949315,00000000000000000000d85ce083fd2ec3e33d9809b9ad6fe9165b2babd71911,2026-05-13 22:38:45 CDT,2026-05-13 23:18:37 CDT,2026-05-14 01:18:37 CDT,0001.png.ots__time-stamp.json,bundles/0001.png.ots__time-stamp.json,2026-05-14T03:42:14.005000+00:00,2026-05-13T07:50:12.083000+00:00,2026-05-14T07:50:12.083000+00:00,1000000,c7eea25f5fbdd6a2b1af19edf8e0633d7688161a0145dec7419b9ee2e9a596d0,yes,bundle.artifact.bind_sha256_hex,yes,yes,yes,yes,yes,yes
0002,0002.json,bundle_json,yes,bundles/0002.json,6284,2026-05-13 22:42:22 CDT,88df66622d313ceb7bfc83f0dfa315a82afb452725d9dd41abb9658ad3815395,0002.json.ots,bundles/0002.json.ots,9009e9f52affeaefa28a3e317ac4b689d47932e813bd3c91c3a6879a86f17447,0002.json.ots.upgraded,bundles/ots_upgraded_bundle/0002.json.ots.upgraded,a9e57517784782d2e9eaea3b209e332b339c6ce0236e4663eb93ef9f4769f505,anchored,88df66622d313ceb7bfc83f0dfa315a82afb452725d9dd41abb9658ad3815395,yes,949315,00000000000000000000d85ce083fd2ec3e33d9809b9ad6fe9165b2babd71911,2026-05-13 22:38:45 CDT,2026-05-13 23:18:37 CDT,2026-05-14 01:18:37 CDT,0002.json.ots__time-stamp.json,bundles/0002.json.ots__time-stamp.json,2026-05-14T03:42:24.049000+00:00,2026-05-13T09:43:31.882000+00:00,2026-05-14T09:43:31.882000+00:00,1000000,9009e9f52affeaefa28a3e317ac4b689d47932e813bd3c91c3a6879a86f17447,yes,bundle.artifact.bind_sha256_hex,yes,yes,yes,yes,yes,yes
0002,0002.png,bundle_png,yes,bundles/0002.png,30776,2026-05-13 22:42:18 CDT,fdbc29eebbe5cc6e85b302e95effcc6a292176fa364ce824d06aa40fd4a743b0,0002.png.ots,bundles/0002.png.ots,4569c8042dc1be345db77b98a0c80abb0b5fe1607d7512e718057ff292dfebc2,0002.png.ots.upgraded,bundles/ots_upgraded_bundle/0002.png.ots.upgraded,af04c9610dcff7aac8b9dad5a22d3a4ade9994786b4a7864898815ed85e7a333,anchored,fdbc29eebbe5cc6e85b302e95effcc6a292176fa364ce824d06aa40fd4a743b0,yes,949313,00000000000000000000b652749d31ea5c941a345b14754a02176d7a03f4a108,2026-05-13 22:25:03 CDT,2026-05-13 23:02:10 CDT,2026-05-14 01:02:10 CDT,0002.png.ots__time-stamp.json,bundles/0002.png.ots__time-stamp.json,2026-05-14T03:42:21.525000+00:00,2026-05-13T06:14:03.236000+00:00,2026-05-14T06:14:03.236000+00:00,1000000,4569c8042dc1be345db77b98a0c80abb0b5fe1607d7512e718057ff292dfebc2,yes,bundle.artifact.bind_sha256_hex,yes,yes,yes,yes,yes,yes
0003,0003.json,bundle_json,yes,bundles/0003.json,6285,2026-05-13 22:42:29 CDT,0643cebafd23f3b1fd37b1a7d46568820cfd9c39f32f67c11677c77306abf9c8,0003.json.ots,bundles/0003.json.ots,17cd8ac6fb9830117ca14bc49b7f9efa24647b72e1a5ea8e416c4fac94988c09,0003.json.ots.upgraded,bundles/ots_upgraded_bundle/0003.json.ots.upgraded,3e8c6458b6bd855a772f0cb9605930dd52fccbd24c6c1a6c9db5b0b34989c31b,anchored,0643cebafd23f3b1fd37b1a7d46568820cfd9c39f32f67c11677c77306abf9c8,yes,949315,00000000000000000000d85ce083fd2ec3e33d9809b9ad6fe9165b2babd71911,2026-05-13 22:38:45 CDT,2026-05-13 23:18:37 CDT,2026-05-14 01:18:37 CDT,0003.json.ots__time-stamp.json,bundles/0003.json.ots__time-stamp.json,2026-05-14T03:42:31.744000+00:00,2026-05-13T06:40:25.129000+00:00,2026-05-14T06:40:25.129000+00:00,1000000,17cd8ac6fb9830117ca14bc49b7f9efa24647b72e1a5ea8e416c4fac94988c09,yes,bundle.artifact.bind_sha256_hex,yes,yes,yes,yes,yes,yes
0003,0003.png,bundle_png,yes,bundles/0003.png,30156,2026-05-13 22:42:26 CDT,099c723ed60a5a003b909abe94d2f1ace2b2f93386a7248aa13211fb3aabde62,0003.png.ots,bundles/0003.png.ots,2ed46e0ae4de3b85aaa3b7a93651c9d8c184857405c317a1f8d6ed096645a245,0003.png.ots.upgraded,bundles/ots_upgraded_bundle/0003.png.ots.upgraded,e998f11865ae2d6275a5b59b4b6d335d7d12a55e13e2becc0eca81f263992f6a,anchored,099c723ed60a5a003b909abe94d2f1ace2b2f93386a7248aa13211fb3aabde62,yes,949315,00000000000000000000d85ce083fd2ec3e33d9809b9ad6fe9165b2babd71911,2026-05-13 22:38:45 CDT,2026-05-13 23:18:37 CDT,2026-05-14 01:18:37 CDT,0003.png.ots__time-stamp.json,bundles/0003.png.ots__time-stamp.json,2026-05-14T03:42:29.045000+00:00,2026-05-13T07:50:12.083000+00:00,2026-05-14T07:50:12.083000+00:00,1000000,2ed46e0ae4de3b85aaa3b7a93651c9d8c184857405c317a1f8d6ed096645a245,yes,bundle.artifact.bind_sha256_hex,yes,yes,yes,yes,yes,yes
0004,0004.json,bundle_json,yes,bundles/0004.json,6288,2026-05-13 22:42:37 CDT,49fddaecbb577b95a130c178f1e5176e27332d331817535913007f68ff03bd72,0004.json.ots,bundles/0004.json.ots,ca1e21e4ade77ef91a31a7a6a63f6c7bebdcb6ee766f7020233c8b08656ad640,0004.json.ots.upgraded,bundles/ots_upgraded_bundle/0004.json.ots.upgraded,07a3726661fa0ce5c9956abea19aacbcbab05ca3e385b9e0d1e4aec5a885e6cc,anchored,49fddaecbb577b95a130c178f1e5176e27332d331817535913007f68ff03bd72,yes,949313,00000000000000000000b652749d31ea5c941a345b14754a02176d7a03f4a108,2026-05-13 22:25:03 CDT,2026-05-13 23:02:10 CDT,2026-05-14 01:02:10 CDT,0004.json.ots__time-stamp.json,bundles/0004.json.ots__time-stamp.json,2026-05-14T03:42:40.065000+00:00,2026-05-13T07:20:03.388000+00:00,2026-05-14T07:20:03.388000+00:00,1000000,ca1e21e4ade77ef91a31a7a6a63f6c7bebdcb6ee766f7020233c8b08656ad640,yes,bundle.artifact.bind_sha256_hex,yes,yes,yes,yes,yes,yes
0004,0004.png,bundle_png,yes,bundles/0004.png,30883,2026-05-13 22:42:34 CDT,5111c1a25434e3188febf9063f61127c6db9df7ae0d83f4d646698fc00470273,0004.png.ots,bundles/0004.png.ots,d4d7fc13edb38218ab59781c1a0c1929b7b98c4af909146ea2c9bdb78b367092,0004.png.ots.upgraded,bundles/ots_upgraded_bundle/0004.png.ots.upgraded,e3b911cfc7cca1e6a78ee91cfe7a79838601201884a271282d1cb93daba38f4e,anchored,5111c1a25434e3188febf9063f61127c6db9df7ae0d83f4d646698fc00470273,yes,949315,00000000000000000000d85ce083fd2ec3e33d9809b9ad6fe9165b2babd71911,2026-05-13 22:38:45 CDT,2026-05-13 23:18:37 CDT,2026-05-14 01:18:37 CDT,0004.png.ots__time-stamp.json,bundles/0004.png.ots__time-stamp.json,2026-05-14T03:42:37.064000+00:00,2026-05-13T07:20:03.388000+00:00,2026-05-14T07:20:03.388000+00:00,1000000,d4d7fc13edb38218ab59781c1a0c1929b7b98c4af909146ea2c9bdb78b367092,yes,bundle.artifact.bind_sha256_hex,yes,yes,yes,yes,yes,yes
0005,0005.json,bundle_json,yes,bundles/0005.json,6636,2026-05-13 22:42:45 CDT,515b860a59cea0f6f3462cba05c437061e29babd97f9232ef0d00c710cc2eaf7,0005.json.ots,bundles/0005.json.ots,f55e41f365f090b1194426f4918d1d508f98ba76f410ce4714f58a736546d9c7,0005.json.ots.upgraded,bundles/ots_upgraded_bundle/0005.json.ots.upgraded,7e8de709415942e72bf4c984e9929efb0860a4477fa25ba0cf47c691595b1ad5,anchored,515b860a59cea0f6f3462cba05c437061e29babd97f9232ef0d00c710cc2eaf7,yes,949319,00000000000000000001167897b80c9add7c40f4481e0d4dbebf384a8bd28e82,2026-05-13 23:14:50 CDT,2026-05-14 00:06:03 CDT,2026-05-14 02:06:03 CDT,0005.json.ots__time-stamp.json,bundles/0005.json.ots__time-stamp.json,2026-05-14T03:42:48.085000+00:00,2026-05-13T23:25:23.999000+00:00,2026-05-14T23:25:23.999000+00:00,1000000,f55e41f365f090b1194426f4918d1d508f98ba76f410ce4714f58a736546d9c7,yes,bundle.artifact.bind_sha256_hex,yes,yes,yes,yes,yes,yes
