bundle_id,base_filename,file_kind,ots_original_filename,ots_original_sha256,rt_ots_bundle_filename,rt_ots_midp_utc,rt_ots_radius_us,rt_ots_mint_utc,rt_ots_maxt_utc,rt_ots_bind_sha256_hex,rt_ots_bind_matches_ots_sha256,rt_ots_nonce_match,rt_ots_merkle_ok,rt_ots_cert_sig_ok,rt_ots_srep_sig_ok,rt_ots_window_ok,rt_ots_all_ok
0000,0000.json,bundle_json,0000.json.ots,0f12047182699bb76678966d0ff6c44197b3068a3a083f85b95c3bfa221e904b,0000.json.ots__time-stamp.json,2026-05-14T03:42:01.545000+00:00,1000000,2026-05-13T07:35:20.866000+00:00,2026-05-14T07:35:20.866000+00:00,0f12047182699bb76678966d0ff6c44197b3068a3a083f85b95c3bfa221e904b,yes,yes,yes,yes,yes,yes,yes
0001,0001.json,bundle_json,0001.json.ots,4581371288def4a57e6112213c26a958deb0dee15131136e35c215a90a967b77,0001.json.ots__time-stamp.json,2026-05-14T03:42:17.024000+00:00,1000000,2026-05-13T07:20:03.388000+00:00,2026-05-14T07:20:03.388000+00:00,4581371288def4a57e6112213c26a958deb0dee15131136e35c215a90a967b77,yes,yes,yes,yes,yes,yes,yes
0001,0001.png,bundle_png,0001.png.ots,c7eea25f5fbdd6a2b1af19edf8e0633d7688161a0145dec7419b9ee2e9a596d0,0001.png.ots__time-stamp.json,2026-05-14T03:42:14.005000+00:00,1000000,2026-05-13T07:50:12.083000+00:00,2026-05-14T07:50:12.083000+00:00,c7eea25f5fbdd6a2b1af19edf8e0633d7688161a0145dec7419b9ee2e9a596d0,yes,yes,yes,yes,yes,yes,yes
0002,0002.json,bundle_json,0002.json.ots,9009e9f52affeaefa28a3e317ac4b689d47932e813bd3c91c3a6879a86f17447,0002.json.ots__time-stamp.json,2026-05-14T03:42:24.049000+00:00,1000000,2026-05-13T09:43:31.882000+00:00,2026-05-14T09:43:31.882000+00:00,9009e9f52affeaefa28a3e317ac4b689d47932e813bd3c91c3a6879a86f17447,yes,yes,yes,yes,yes,yes,yes
0002,0002.png,bundle_png,0002.png.ots,4569c8042dc1be345db77b98a0c80abb0b5fe1607d7512e718057ff292dfebc2,0002.png.ots__time-stamp.json,2026-05-14T03:42:21.525000+00:00,1000000,2026-05-13T06:14:03.236000+00:00,2026-05-14T06:14:03.236000+00:00,4569c8042dc1be345db77b98a0c80abb0b5fe1607d7512e718057ff292dfebc2,yes,yes,yes,yes,yes,yes,yes
0003,0003.json,bundle_json,0003.json.ots,17cd8ac6fb9830117ca14bc49b7f9efa24647b72e1a5ea8e416c4fac94988c09,0003.json.ots__time-stamp.json,2026-05-14T03:42:31.744000+00:00,1000000,2026-05-13T06:40:25.129000+00:00,2026-05-14T06:40:25.129000+00:00,17cd8ac6fb9830117ca14bc49b7f9efa24647b72e1a5ea8e416c4fac94988c09,yes,yes,yes,yes,yes,yes,yes
0003,0003.png,bundle_png,0003.png.ots,2ed46e0ae4de3b85aaa3b7a93651c9d8c184857405c317a1f8d6ed096645a245,0003.png.ots__time-stamp.json,2026-05-14T03:42:29.045000+00:00,1000000,2026-05-13T07:50:12.083000+00:00,2026-05-14T07:50:12.083000+00:00,2ed46e0ae4de3b85aaa3b7a93651c9d8c184857405c317a1f8d6ed096645a245,yes,yes,yes,yes,yes,yes,yes
0004,0004.json,bundle_json,0004.json.ots,ca1e21e4ade77ef91a31a7a6a63f6c7bebdcb6ee766f7020233c8b08656ad640,0004.json.ots__time-stamp.json,2026-05-14T03:42:40.065000+00:00,1000000,2026-05-13T07:20:03.388000+00:00,2026-05-14T07:20:03.388000+00:00,ca1e21e4ade77ef91a31a7a6a63f6c7bebdcb6ee766f7020233c8b08656ad640,yes,yes,yes,yes,yes,yes,yes
0004,0004.png,bundle_png,0004.png.ots,d4d7fc13edb38218ab59781c1a0c1929b7b98c4af909146ea2c9bdb78b367092,0004.png.ots__time-stamp.json,2026-05-14T03:42:37.064000+00:00,1000000,2026-05-13T07:20:03.388000+00:00,2026-05-14T07:20:03.388000+00:00,d4d7fc13edb38218ab59781c1a0c1929b7b98c4af909146ea2c9bdb78b367092,yes,yes,yes,yes,yes,yes,yes
0005,0005.json,bundle_json,0005.json.ots,f55e41f365f090b1194426f4918d1d508f98ba76f410ce4714f58a736546d9c7,0005.json.ots__time-stamp.json,2026-05-14T03:42:48.085000+00:00,1000000,2026-05-13T23:25:23.999000+00:00,2026-05-14T23:25:23.999000+00:00,f55e41f365f090b1194426f4918d1d508f98ba76f410ce4714f58a736546d9c7,yes,yes,yes,yes,yes,yes,yes
0005,0005.png,bundle_png,0005.png.ots,2d132ea3e8e669ac6ead0008b2f30fd629bfb0bb4203395546ea2d07be39994d,0005.png.ots__time-stamp.json,2026-05-14T03:42:45.135000+00:00,1000000,2026-05-13T10:49:29.465000+00:00,2026-05-14T10:49:29.465000+00:00,2d132ea3e8e669ac6ead0008b2f30fd629bfb0bb4203395546ea2d07be39994d,yes,yes,yes,yes,yes,yes,yes
0006,0006.json,bundle_json,0006.json.ots,413f13c1f9f666a256a01d6ac74c6449da03a6d009a1d50798256068f723fae3,0006.json.ots__time-stamp.json,2026-05-14T03:42:56.146000+00:00,1000000,2026-05-13T10:01:43.892000+00:00,2026-05-14T10:01:43.892000+00:00,413f13c1f9f666a256a01d6ac74c6449da03a6d009a1d50798256068f723fae3,yes,yes,yes,yes,yes,yes,yes
0006,0006.png,bundle_png,0006.png.ots,65464fdc2858b8c874482da9bf99b25acc68f7e711fcb6568a2396fd2f0b685a,0006.png.ots__time-stamp.json,2026-05-14T03:42:53.105000+00:00,1000000,2026-05-13T10:58:02.074000+00:00,2026-05-14T10:58:02.074000+00:00,65464fdc2858b8c874482da9bf99b25acc68f7e711fcb6568a2396fd2f0b685a,yes,yes,yes,yes,yes,yes,yes
0007,0007.json,bundle_json,0007.json.ots,e51af87a1047d14702ca084f5b09bd90738ac1722d40793093723ab0ee99e476,0007.json.ots__time-stamp.json,2026-05-14T03:43:04.145000+00:00,1000000,2026-05-13T10:01:43.892000+00:00,2026-05-14T10:01:43.892000+00:00,e51af87a1047d14702ca084f5b09bd90738ac1722d40793093723ab0ee99e476,yes,yes,yes,yes,yes,yes,yes
0007,0007.png,bundle_png,0007.png.ots,f9deb7bd03950160d0464e29f8e9003cf2595cf4c8fc532cb01d5fd4dc2f3893,0007.png.ots__time-stamp.json,2026-05-14T03:43:01.225000+00:00,1000000,2026-05-13T10:01:43.892000+00:00,2026-05-14T10:01:43.892000+00:00,f9deb7bd03950160d0464e29f8e9003cf2595cf4c8fc532cb01d5fd4dc2f3893,yes,yes,yes,yes,yes,yes,yes
0008,0008.json,bundle_json,0008.json.ots,78c484ba1161759cd7aa5c25fef3e0ef47de5bf11dfbd1c5d4b11a32c682a9b3,0008.json.ots__time-stamp.json,2026-05-14T03:43:12.160000+00:00,1000000,2026-05-13T06:14:03.236000+00:00,2026-05-14T06:14:03.236000+00:00,78c484ba1161759cd7aa5c25fef3e0ef47de5bf11dfbd1c5d4b11a32c682a9b3,yes,yes,yes,yes,yes,yes,yes
0008,0008.png,bundle_png,0008.png.ots,b02dddde501bc8ebb864cadca6b4ca232f371317d225b232645c1d8a2839b4cc,0008.png.ots__time-stamp.json,2026-05-14T03:43:09.245000+00:00,1000000,2026-05-13T06:31:59.305000+00:00,2026-05-14T06:31:59.305000+00:00,b02dddde501bc8ebb864cadca6b4ca232f371317d225b232645c1d8a2839b4cc,yes,yes,yes,yes,yes,yes,yes
0009,0009.json,bundle_json,0009.json.ots,ad042356b2ed2deb824c9e0490007b38b4e9bc234e54d1a78baaf36eb9be34db,0009.json.ots__time-stamp.json,2026-05-14T03:43:20.285000+00:00,1000000,2026-05-13T08:23:50.532000+00:00,2026-05-14T08:23:50.532000+00:00,ad042356b2ed2deb824c9e0490007b38b4e9bc234e54d1a78baaf36eb9be34db,yes,yes,yes,yes,yes,yes,yes
0009,0009.png,bundle_png,0009.png.ots,1a65f2c8ad6e68156be6f92e1f966cbd7127d44ec051d26000b2cea979af4d2e,0009.png.ots__time-stamp.json,2026-05-14T03:43:17.255000+00:00,1000000,2026-05-13T10:01:43.892000+00:00,2026-05-14T10:01:43.892000+00:00,1a65f2c8ad6e68156be6f92e1f966cbd7127d44ec051d26000b2cea979af4d2e,yes,yes,yes,yes,yes,yes,yes
0010,0010.json,bundle_json,0010.json.ots,6a357af062e699e457b0f1d25ae44f78b4929d528733e6337521e1f538008f94,0010.json.ots__time-stamp.json,2026-05-14T03:43:28.229000+00:00,1000000,2026-05-13T10:01:43.892000+00:00,2026-05-14T10:01:43.892000+00:00,6a357af062e699e457b0f1d25ae44f78b4929d528733e6337521e1f538008f94,yes,yes,yes,yes,yes,yes,yes
0010,0010.png,bundle_png,0010.png.ots,72e4573b493496bfdaab4257fb63bd755cd02469f5e244302105709d49996ed9,0010.png.ots__time-stamp.json,2026-05-14T03:43:25.285000+00:00,1000000,2026-05-13T09:16:05.223000+00:00,2026-05-14T09:16:05.223000+00:00,72e4573b493496bfdaab4257fb63bd755cd02469f5e244302105709d49996ed9,yes,yes,yes,yes,yes,yes,yes
0011,0011.json,bundle_json,0011.json.ots,b24c5de688bd6a9e70711674ffe9480ce21fc61a5625245456a9474c2e753914,0011.json.ots__time-stamp.json,2026-05-14T03:43:36.025000+00:00,1000000,2026-05-13T07:42:55.719000+00:00,2026-05-14T07:42:55.719000+00:00,b24c5de688bd6a9e70711674ffe9480ce21fc61a5625245456a9474c2e753914,yes,yes,yes,yes,yes,yes,yes
0011,0011.png,bundle_png,0011.png.ots,5dfa093b96ae9ae2e8172b22a19e1f5dcbc3482ee6de8ae71f8b0b1c406f1f9b,0011.png.ots__time-stamp.json,2026-05-14T03:43:33.244000+00:00,1000000,2026-05-13T07:20:03.388000+00:00,2026-05-14T07:20:03.388000+00:00,5dfa093b96ae9ae2e8172b22a19e1f5dcbc3482ee6de8ae71f8b0b1c406f1f9b,yes,yes,yes,yes,yes,yes,yes
0012,0012.json,bundle_json,0012.json.ots,0c77b1e720719250a950e51bc373af3655d9d80b629af7f265e758e44591dd71,0012.json.ots__time-stamp.json,2026-05-14T03:43:44.064000+00:00,1000000,2026-05-13T07:35:20.866000+00:00,2026-05-14T07:35:20.866000+00:00,0c77b1e720719250a950e51bc373af3655d9d80b629af7f265e758e44591dd71,yes,yes,yes,yes,yes,yes,yes
0012,0012.png,bundle_png,0012.png.ots,22bc402caf0a4dc44493ab240a897b8e0dd220eb2c11ea1b019ba0ae446fe33b,0012.png.ots__time-stamp.json,2026-05-14T03:43:41.290000+00:00,1000000,2026-05-13T06:14:03.236000+00:00,2026-05-14T06:14:03.236000+00:00,22bc402caf0a4dc44493ab240a897b8e0dd220eb2c11ea1b019ba0ae446fe33b,yes,yes,yes,yes,yes,yes,yes
0013,0013.json,bundle_json,0013.json.ots,6f36ed5700e6782f5a0100893073c6fa6cbf6a82f06e177158be2e5f2d5eb202,0013.json.ots__time-stamp.json,2026-05-14T03:43:51.349000+00:00,1000000,2026-05-13T09:43:31.882000+00:00,2026-05-14T09:43:31.882000+00:00,6f36ed5700e6782f5a0100893073c6fa6cbf6a82f06e177158be2e5f2d5eb202,yes,yes,yes,yes,yes,yes,yes
0013,0013.png,bundle_png,0013.png.ots,28bcf79a8b91f47fe867c720656e5b221b03f26dee152333217dc8c0275e46c1,0013.png.ots__time-stamp.json,2026-05-14T03:43:48.485000+00:00,1000000,2026-05-13T10:58:02.074000+00:00,2026-05-14T10:58:02.074000+00:00,28bcf79a8b91f47fe867c720656e5b221b03f26dee152333217dc8c0275e46c1,yes,yes,yes,yes,yes,yes,yes
